InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,0,0,0
1200,1,0,0
1300,0,0,0
1400,1,0,0
1500,1,0,0
1600,0,0,0
1700,1,0,0
1800,1,0,0
1900,1,0,0
2000,2,0,0
2100,1,0,0
2200,2,0,0
2300,1,0,0
2400,2,0,0
2500,2,0,0
2600,2,0,0
2700,2,0,0
2800,3,0,0
2900,3,0,0
3000,3,0,0
3100,3,0,0
3200,3,0,0
3300,4,0,0
3400,4,0,0
3500,4,0,0
3600,4,0,0
3700,5,0,0
3800,5,0,0
3900,5,0,0
4000,5,0,0
4100,6,0,0
4200,6,0,0
4300,6,0,0
4400,7,0,0
4500,7,0,0
4600,8,0,0
4700,8,0,0
4800,8,0,0
4900,9,0,0
5000,9,0,0
5100,9,0,0
5200,10,0,0
5300,9,0,0
5400,11,0,0
5500,11,0,0
5600,11,0,0
5700,11,0,0
5800,12,0,0
5900,12,0,0
6000,12,0,0
6100,13,0,0
6200,13,0,0
6300,14,0,0
6400,15,0,0
6500,15,0,0
6600,20,0,0
6700,23,0,0
6800,16,0,0
6900,17,0,0
7000,17,0,0
7100,18,0,0
7200,18,0,0
7300,19,0,0
7400,23,0,0
7500,24,0,0
7600,23,0,0
7700,21,0,0
7800,21,0,0
7900,22,0,0
8000,22,0,0
8100,23,0,0
8200,24,0,0
8300,24,0,0
8400,25,0,0
8500,26,0,0
8600,26,0,0
8700,27,0,0
8800,27,0,0
8900,28,0,0
9000,29,0,0
9100,30,0,0
9200,31,0,0
9300,48,0,0
9400,31,0,0
9500,32,0,0
9600,32,0,0
9700,33,0,0
9800,34,0,0
9900,35,0,0
10000,35,0,0
10100,36,0,0
10200,37,0,0
10300,38,0,0
10400,38,0,0
10500,38,0,0
10600,40,0,0
10700,40,0,0
10800,41,0,0
10900,55,0,0
11000,42,0,0
11100,43,0,0
11200,44,0,0
11300,49,0,0
11400,46,1,0
11500,47,0,0
11600,48,0,0
11700,49,0,0
11800,49,0,0
11900,63,0,0
12000,51,0,0
12100,52,0,0
12200,53,0,0
12300,54,0,0
12400,55,0,0
12500,56,0,0
12600,57,0,0
12700,59,0,0
12800,59,0,0
12900,61,0,0
13000,65,0,0
13100,64,0,0
13200,65,0,0
13300,72,0,0
13400,67,0,0
13500,68,0,0
13600,69,0,0
13700,69,0,0
13800,69,0,0
13900,71,0,0
14000,72,0,0
14100,74,0,0
14200,77,0,0
14300,76,0,0
14400,78,0,0
14500,79,0,0
14600,79,0,0
14700,93,0,0
14800,83,0,0
14900,83,0,0
15000,84,0,0
15100,85,0,0
15200,86,0,0
15300,88,0,0
15400,90,0,0
15500,91,0,0
15600,92,0,0
15700,93,0,0
15800,94,0,0
15900,95,0,0
16000,96,0,0
16100,109,0,0
16200,100,0,0
16300,101,0,0
16400,102,0,0
16500,121,0,0
16600,105,0,0
16700,107,0,0
16800,108,0,0
16900,109,0,0
17000,111,0,0
17100,112,0,0
17200,114,0,0
17300,119,0,0
17400,117,0,0
17500,118,0,0
17600,120,0,0
17700,121,0,0
17800,123,0,0
17900,123,0,0
18000,124,0,0
18100,126,0,0
18200,140,0,0
18300,130,0,0
18400,131,0,0
18500,132,0,0
18600,152,0,0
18700,134,0,0
18800,140,0,0
18900,144,0,0
19000,142,0,0
19100,142,0,0
19200,164,0,0
19300,146,0,0
19400,148,0,0
19500,150,0,0
19600,149,0,0
19700,151,0,0
19800,163,0,0
19900,153,0,0
