InputIndices,TestResults
0,0
100,0
200,0
300,1
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,3
1300,0
1400,0
1500,13
1600,0
1700,0
1800,0
1900,0
2000,0
2100,16
2200,0
2300,0
2400,0
2500,3
2600,10
2700,1
2800,2
2900,5
3000,6
3100,3
3200,0
3300,9
3400,6
3500,0
3600,9
3700,3
3800,3
3900,10
4000,3
4100,3
4200,12
4300,3
4400,3
4500,9
4600,3
4700,9
4800,6
4900,3
5000,6
5100,6
5200,10
5300,6
5400,9
5500,6
5600,9
5700,6
5800,10
5900,6
6000,9
6100,10
6200,9
6300,6
6400,12
6500,9
6600,6
6700,16
6800,9
6900,6
7000,15
7100,6
7200,9
7300,16
7400,6
7500,12
7600,12
7700,13
7800,10
7900,15
8000,9
8100,16
8200,10
8300,14
8400,11
8500,12
8600,12
8700,12
8800,13
8900,12
9000,16
9100,12
9200,16
9300,12
9400,16
9500,12
9600,13
9700,13
9800,15
9900,15
10000,17
10100,12
10200,15
10300,13
10400,15
10500,16
10600,16
10700,12
10800,16
10900,13
11000,15
11100,16
11200,13
11300,9
11400,10
11500,16
11600,9
11700,12
11800,13
11900,15
12000,13
12100,6
12200,16
12300,12
12400,13
12500,3
12600,15
12700,12
12800,10
12900,10
13000,12
13100,9
13200,12
13300,12
13400,6
13500,9
13600,13
13700,6
13800,13
13900,6
14000,9
14100,13
14200,9
14300,8
14400,8
14500,8
14600,2
14700,11
14800,5
14900,11
15000,4
15100,7
15200,10
15300,6
15400,3
15500,6
15600,3
15700,9
15800,6
15900,3
16000,10
16100,3
16200,3
16300,6
16400,5
16500,4
16600,7
16700,1
16800,4
16900,7
17000,3
17100,3
17200,2
17300,6
17400,4
17500,0
17600,3
17700,3
17800,3
17900,3
18000,0
18100,3
18200,0
18300,3
18400,6
18500,3
18600,0
18700,0
18800,3
18900,0
19000,0
19100,6
19200,0
19300,3
19400,0
19500,0
19600,0
19700,0
19800,0
19900,0
