InputListSize,ResultsTest1,ResultsTest2
0,24,80
100,4824,5504
200,9624,10944
300,14424,15744
400,19224,21824
500,24024,26624
600,28824,31424
700,33624,38784
800,38424,43584
900,43224,48384
1000,48024,53184
1100,52824,57984
1200,57624,62784
1300,62424,72704
1400,67224,77504
1500,72024,82304
1600,76824,87104
1700,81624,91904
1800,86424,96704
1900,91224,101504
2000,96024,106304
2100,100824,111104
2200,105624,115904
2300,110424,120704
2400,115224,125504
2500,120024,130304
2600,124824,145344
2700,129624,150144
2800,134424,154944
2900,139224,159744
3000,144024,164544
3100,148824,169344
3200,153624,174144
3300,158424,178944
3400,163224,183744
3500,168024,188544
3600,172824,193344
3700,177624,198144
3800,182424,202944
3900,187224,207744
4000,192024,212544
4100,196824,217344
4200,201624,222144
4300,206424,226944
4400,211224,231744
4500,216024,236544
4600,220824,241344
4700,225624,246144
4800,230424,250944
4900,235224,255744
5000,240024,260544
5100,244824,265344
5200,249624,290624
5300,254424,295424
5400,259224,300224
5500,264024,305024
5600,268824,309824
5700,273624,314624
5800,278424,319424
5900,283224,324224
6000,288024,329024
6100,292824,333824
6200,297624,338624
6300,302424,343424
6400,307224,348224
6500,312024,353024
6600,316824,357824
6700,321624,362624
6800,326424,367424
6900,331224,372224
7000,336024,377024
7100,340824,381824
7200,345624,386624
7300,350424,391424
7400,355224,396224
7500,360024,401024
7600,364824,405824
7700,369624,410624
7800,374424,415424
7900,379224,420224
8000,384024,425024
8100,388824,429824
8200,393624,434624
8300,398424,439424
8400,403224,444224
8500,408024,449024
8600,412824,453824
8700,417624,458624
8800,422424,463424
8900,427224,468224
9000,432024,473024
9100,436824,477824
9200,441624,482624
9300,446424,487424
9400,451224,492224
9500,456024,497024
9600,460824,501824
9700,465624,506624
9800,470424,511424
9900,475224,516224
10000,480024,521024
10100,484824,525824
10200,489624,530624
10300,494424,576384
10400,499224,581184
10500,504024,585984
10600,508824,590784
10700,513624,595584
10800,518424,600384
10900,523224,605184
11000,528024,609984
11100,532824,614784
11200,537624,619584
11300,542424,624384
11400,547224,629184
11500,552024,633984
11600,556824,638784
11700,561624,643584
11800,566424,648384
11900,571224,653184
12000,576024,657984
12100,580824,662784
12200,585624,667584
12300,590424,672384
12400,595224,677184
12500,600024,681984
12600,604824,686784
12700,609624,691584
12800,614424,696384
12900,619224,701184
13000,624024,705984
13100,628824,710784
13200,633624,715584
13300,638424,720384
13400,643224,725184
13500,648024,729984
13600,652824,734784
13700,657624,739584
13800,662424,744384
13900,667224,749184
14000,672024,753984
14100,676824,758784
14200,681624,763584
14300,686424,768384
14400,691224,773184
14500,696024,777984
14600,700824,782784
14700,705624,787584
14800,710424,792384
14900,715224,797184
15000,720024,801984
15100,724824,806784
15200,729624,811584
15300,734424,816384
15400,739224,821184
15500,744024,825984
15600,748824,830784
15700,753624,835584
15800,758424,840384
15900,763224,845184
16000,768024,849984
16100,772824,854784
16200,777624,859584
16300,782424,864384
16400,787224,869184
16500,792024,873984
16600,796824,878784
16700,801624,883584
16800,806424,888384
16900,811224,893184
17000,816024,897984
17100,820824,902784
17200,825624,907584
17300,830424,912384
17400,835224,917184
17500,840024,921984
17600,844824,926784
17700,849624,931584
17800,854424,936384
17900,859224,941184
18000,864024,945984
18100,868824,950784
18200,873624,955584
18300,878424,960384
18400,883224,965184
18500,888024,969984
18600,892824,974784
18700,897624,979584
18800,902424,984384
18900,907224,989184
19000,912024,993984
19100,916824,998784
19200,921624,1003584
19300,926424,1008384
19400,931224,1013184
19500,936024,1017984
19600,940824,1022784
19700,945624,1027584
19800,950424,1032384
19900,955224,1037184
